,distance,noise,shots,mean_runtime,std_runtime,mean_accuracy,std_accuracy,mean_logical_error,std_logical_error,mean_throughput,std_throughput,detectors,observables,operations
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,7.0,0.0014666666666666667,5000.0,0.06080414694216511,0.0011252174250604187,0.9991599999999999,0.0001482672639348732,0.0008399999999999934,0.00014826726393488355,324057.10864194285,7477.485448518948,504.0,1.0,272.0
std,2.876779808912305,0.001731718965280638,0.0,0.052079655333106996,0.002299582215081644,0.0019380125696977697,0.0002811071500500505,0.001938012569697756,0.0002811071500500599,460392.16858638055,27760.93356840613,481.0746590563744,0.0,163.38488513217854
min,3.0,0.0001,5000.0,0.0035574808716773,6.188118725804211e-06,0.9918,0.0,0.0,0.0,22333.803819379147,20.475014907132877,24.0,1.0,80.0
25%,5.0,0.0002,5000.0,0.020442474012573472,0.00011394612643855331,0.9995000000000002,0.0,0.0,0.0,53478.586391198434,422.9889557559618,120.0,1.0,144.0
50%,7.0,0.00075,5000.0,0.0389714402457078,0.00041256562652359997,1.0,0.0,0.0,0.0,128554.12414122223,1605.6209835354236,336.0,1.0,240.0
75%,9.0,0.002,5000.0,0.09355303024252254,0.000930626195591925,1.0,0.0001822461852836,0.000499999999999975,0.000182246185283675,244711.29992429886,3243.193997491468,720.0,1.0,368.0
max,11.0,0.005,5000.0,0.2238767420252164,0.0114387012278102,1.0,0.0012754084313139,0.0082,0.0012754084313139,1405518.435605265,153395.33354291788,1320.0,1.0,528.0
