noise,samples,accuracy,avg_confidence,avg_latency_us,throughput
0.001,50000,0.9904,0.988492831864357,2.08026971668005,480706.896794096
0.0001,50000,0.99954,0.9987762354886532,2.0534732192754745,486979.8108946506
0.002,50000,0.92466,0.9655132329010964,2.012096755206585,496993.9926657893
0.0002,50000,0.99778,0.997149895002842,2.075073719024658,481910.58988980285
0.005,50000,0.76714,0.946844484295845,1.9690151140093803,507868.1178651613
0.0005,50000,0.99232,0.9921273444330692,2.0381273329257965,490646.4791699095
