batch_size,device,samples,throughput,latency_us,memory_mb
1,CPU,50000,6478.258355117493,154.3624760210514,0
8,CPU,50000,24140.27198054115,41.42455399036408,0
16,CPU,50000,51830.33056015132,19.29372221231461,0
32,CPU,50000,111440.37604814014,8.973408341407776,0
64,CPU,50000,161249.71388563988,6.201561391353607,0
128,CPU,50000,241750.66032261276,4.136493355035782,0
256,CPU,50000,413494.35260420514,2.418412715196609,0
512,CPU,50000,457731.07642833306,2.1846888959407806,0
