distance,samples,accuracy,avg_confidence,avg_latency_us,throughput
3,50000,0.99984,0.9996698549628258,1.4562556520104408,686692.6137724823
5,50000,0.99722,0.9969700891005993,1.5530580282211304,643890.9440785017
7,50000,0.9904,0.988492831864357,2.0437220111489296,489303.337021763
9,50000,0.95394,0.9283495636892318,2.8279943764209747,353607.49241148424
11,50000,0.8867,0.8407531855809689,3.883177489042282,257521.06434018095
